28,"Wang Laboratories Inc.,",11278,WANG LABORATORIES INC
29,Clairson International Corp.,12787,CLAIRSON INTERNATIONAL CORP
66,"Digital Products Corp.,",3957,DIGITAL PRODUCTS CORP
67,"Russ Berrie & Company, Inc.",9289,RUSS BERRIE & CO INC
75,Elexis Corp.,13262,ELEXIS CORP
95,"Nature's Bounty Inc.,",7798,NATURES BOUNTY INC
98,"Minnesota Mining & Manufacturing Co.,",7435,MINNESOTA MINING & MANUFACTURING CO
99,Sensormatic Electronics Corporation,9602,SENSORMATIC ELECTRONICS CORP
103,"Corrections Services Inc.,",21345,CORRECTIONS SERVICES INC
122,United Technologies Corporation,10983,UNITED TECHNOLOGIES CORP
123,Heico Corp.,5567,HEICO CORP
124,Jet Avion Corp.,6256,JET AVION CORP
147,"Augat, Inc.",1865,AUGAT INC
168,Symbol Technologies,10232,SYMBOL TECHNOLOGIES INC
169,"Metrologic Instruments, Inc.",30718,METROLOGIC INSTRUMENTS INC
205,"Fortunet, Inc.",165464,"Fortunet, Inc."
220,Fonar Corporation,4826,FONAR CORP
224,Hitachi Ltd.,5650,HITACHI LTD
334,"Executone Information Systems, Inc.",11218,EXECUTONE INFORMATION SYSTEMS INC
340,Comdial Corporation,3229,COMDIAL CORP
379,"Cooper Companies, Incorporated",3504,COOPER COMPANIES INC
388,"L.P. Evans Motors of West Palm Beach, Inc.",8305,PALM BEACH INC
454,"United Telephone of Florida, Inc.",10985,UNITED TELEPHONE CO OF FLORIDA
460,Sprint Corporation,10984,SPRINT CORP
460,Sprint Corporation,10984,SPRINT Corp
475,"Tie/Communications, Inc.",10284,TIE/COMMUNICATIONS INC
478,"LA Gear, Inc.",12370,LA GEAR INC
536,"Technical Chemicals & Products, Inc.",31484,TECHNICAL CHEMICALS & PRODUCTS INC
541,"Home Diagnostics, Inc.",174454,HOME DIAGNOSTICS INC
552,"Liuski International, Inc.,",24398,LIUSKI INTERNATIONAL INC
648,"Marriott International, Inc.",28930,MARRIOTT INTERNATIONAL INC
650,Host Marriott Corp.,7063,HOST MARRIOTT CORP
659,Hyatt Corp.,5796,HYATT CORP
665,"Red Lion Hotels, Inc",61078,RED LION HOTELS INC
667,"Best Western International, Inc.",29378,BEST INC ADS
688,Haverfield Corporation,16958,HAVERFIELD CORP
738,"Red Lion Hotels, Inc.",61078,RED LION HOTELS INC
752,"Leggett & Platt, Incorporated",6649,LEGGETT & PLATT INC
759,"Choice Hotels International, Incorporated",63791,CHOICE HOTELS INTERNATIONAL INC
768,Sonesta International Hotels Corp.,9812,SONESTA INTERNATIONAL HOTELS CORP
800,Harris Corporation,5492,HARRIS CORP
809,"La Quinta Inns, Inc.",6541,LA QUINTA INNS INC
817,"Sofitel Hotels of North America, Inc., a Delaware corporation",15101,AMERICA FIRST MORTGAGE INVESTMENTS INC
817,"Sofitel Hotels of North America, Inc., a Delaware corporation",16642,AMERICA FIRST APARTMENT INVESTORS INC
817,"Sofitel Hotels of North America, Inc., a Delaware corporation",24669,AMERICA SERVICE GROUP INC
817,"Sofitel Hotels of North America, Inc., a Delaware corporation",24741,"AMERICA WEST RESOURCES, INC."
817,"Sofitel Hotels of North America, Inc., a Delaware corporation",28274,AMERICA FIRST REIT INC
817,"Sofitel Hotels of North America, Inc., a Delaware corporation",138481,AMERICA ONLINE LATIN AMERICA INC
853,Siemens AG,19349,SIEMENS AG
868,Major Group,8919,MAJOR GROUP INC
899,"Computron,Inc.",29261,"Computron, Inc."
925,"Promus Company, Inc.",20423,PROMUS COMPANIES INC
984,Toshiba Corporation,10622,TOSHIBA CORP
986,"Toshiba America MRI, Inc., A California Corporation,",10622,TOSHIBA CORP
1021,Pall Corporation,8304,PALL CORP
1022,"Hemasure, Inc.",179428,HEMASURE INC
1025,Lydall Inc.,6845,LYDALL INC
1035,"Cheyenne Software,Inc.",12608,CHEYENNE SOFTWARE INC
1036,"Key Pharmaceuticals, Inc.",6414,KEY PHARMACEUTICALS INC
1037,Sano Corporation,61503,SANO CORP
1044,"Sta-Rite Industries, Inc.",9968,STA-RITE INDUSTRIES
1106,"Stride Rite Children's Group, Inc. a Massachusetts corporation",10109,STRIDE RITE CORP
1108,Dayton Hudson Corporation,3813,DAYTON HUDSON CORP
