DE000A1EWWW0,adidas AG,7472,ADIDAS AG,100.0
FR0000120073,Air Liquide SA,4952,AIR LIQUIDE,100.0
FR0000120073,Air Liquide SA,28147,AIR LIQUIDE ELECTRONICS US LP,64.70588235294117
FR0000120073,Air Liquide SA,52291,AIR LIQUIDE SANTE INT,52.38095238095239
FR0000120073,Air Liquide SA,124575,AIR LIQUIDE MEDICAL SYSTEMS,57.89473684210527
FR0000120073,Air Liquide SA,129410,AIR LIQUIDE MEDICAL SYSTEMS S,55.00000000000001
FR0000120073,Air Liquide SA,160145,AIR LIQUIDE DEUTSCHLAND GMBH,64.70588235294117
FR0000120073,Air Liquide SA,407373,AIR LIQUIDE SANITA SERVICE S P,52.38095238095239
FR0000120073,Air Liquide SA,484226,AIR LIQUIDE ELECTRONICS SYS,52.38095238095239
FR0000120073,Air Liquide SA,556651,AIR LIQUIDE ADVANCED TECH US LLC,61.111111111111114
FR0000120073,Air Liquide SA,616033,AIR LIQUIDE SANTÉ INTERNATIONAL,52.38095238095239
FR0000120073,Air Liquide SA,619975,AIR LIQUIDE MEDICAL G M B H,61.111111111111114
FR0000120073,Air Liquide SA,632029,AIR LIQUIDE SANITA SERVICES SP,53.65853658536586
FR0000120073,Air Liquide SA,648095,AIR LIQUIDE ITALIA SERVICE,57.89473684210527
FR0000120073,Air Liquide SA,915673,AIR LIQUIDE PROCESS & CONSTRUCTION INC,51.162790697674424
FR0000120073,Air Liquide SA,935937,Air Liquide Santé (International),52.38095238095239
FR0000120073,Air Liquide SA,957439,AIR LIQUIDE ADVANCED MAT LLC,62.857142857142854
FR0000120073,Air Liquide SA,995133,AIR LIQUIDE MEDICAL SYSTEMS S R L,51.162790697674424
FR0000120073,Air Liquide SA,1212578,AIR LIQUIDE ITALIA S R L,64.70588235294117
FR0000120073,Air Liquide SA,1267815,AIR LIQUIDE AMERICAN,73.33333333333334
FR0000120073,Air Liquide SA,1424798,AIR LIQUIDE OIL AND GAS SERVICES LTD,56.41025641025641
FR0000120073,Air Liquide SA,1457450,AIR LIQUIDE PROCESS & CONSTRUC,56.41025641025641
