idx,name,permno,comnam
1,PULLMAN GEORGE M,14066.0,PULLMAN CO
1,PULLMAN GEORGE M,68654.0,PULLMAN COMPANY
17,ELLIOTT JOHN A,23747.0,ELLIOTT CO
176,NEWELL GEORGE H,60986.0,NEWELL COMPANY
199,S D WARREN & CO,27262.0,WARREN S D CO
334,WESTINGHOUSE ELECTRIC & MFG CO,15368.0,WESTINGHOUSE ELECTRIC & MFG CO
520,UNITED GAS IMPROVEMENT CO,17929.0,UNITED GAS IMPROVEMENT CO
553,GOODYEAR TIRE & RUBBER,16432.0,GOODYEAR TIRE & RUBBER CO
595,ONEIDA COMMUNITY LTD,45313.0,ONEIDA LTD
746,DRAPER CO,16980.0,DRAPER OAKWOOD TECH ACQ INC
746,DRAPER CO,31368.0,DRAPER CORP
878,BRIDGEPORT BRASS CO,19625.0,BRIDGEPORT BRASS CO
889,SCOVILL MANUFACTURING CO,24336.0,SCOVILL MANUFACTURING CO
889,SCOVILL MANUFACTURING CO,24336.0,SCOVILL MFG CO
1040,CRANE CO,20204.0,CRANE CO
1040,CRANE CO,30074.0,CRANE CARRIER INDS INC
1081,CUTLER HAMMER MFG CO,16758.0,CUTLER HAMMER MFG CO
1135,HAYWARD CO,41276.0,HAYWARD MANUFACTURING INC
1167,BERGER ALBERT W,49438.0,BERGER HOLDINGS LTD
1206,STROMBERG CARLSON TELEPHONE,25275.0,STROMBERG CARLSON CO
1216,PULLMAN CO,14066.0,PULLMAN CO
1216,PULLMAN CO,14066.0,PULLMAN INC
1216,PULLMAN CO,68654.0,PULLMAN COMPANY
1216,PULLMAN CO,68654.0,PULLMAN COMPANY DE NEW
1216,PULLMAN CO,68654.0,PULLMAN PEABODY CO
1216,PULLMAN CO,68654.0,PULLMAN TRANSN INC
1232,MCCARTHY PORTABLE ELEVATOR COMPANY,52063.0,MCCARTHY COMPANY
1275,BROWNING MELVIN H,19554.0,BROWNING
1327,MERGENTHALER LINOTYPE GMBH,24619.0,MERGANTHALER LINOTYPE CO
1327,MERGENTHALER LINOTYPE GMBH,24619.0,MERGENTHALER LINOTYPE CO
1388,ROYAL TYPEWRITER CO INC,21901.0,ROYAL TYPEWRITER INC
1603,BLISS E W CO,22808.0,BLISS E W CO
1609,AMERICAN LOCOMOTIVE CO,11287.0,AMERICAN LOCOMOTIVE CO
1729,AMERICAN CAN CO,10241.0,AMERICAN CAN CO
1745,ALLIS CHALMERS,10153.0,ALLIS CHALMERS CORP
1745,ALLIS CHALMERS,10153.0,ALLIS CHALMERS MFG CO
1745,ALLIS CHALMERS,90335.0,ALLIS CHALMERS CORP
1745,ALLIS CHALMERS,90335.0,ALLIS CHALMERS ENERGY INC
1752,BEECHNUT PACKING COMPANY,10735.0,BEECH NUT PACKING CO
1793,BALDWIN LOCOMOTIVE WORKS,10671.0,BALDWIN LOCOMOTIVE WKS
1870,BORDEN CO,16571.0,BORDEN CO
1870,BORDEN CO,16571.0,BORDEN INC
1947,BASTIAN BLESSING CO,17153.0,BASTIAN BLESSING INC DE
1983,ARMSTRONG CORK CO,19692.0,ARMSTRONG CORK CO
2004,HOE & CO R,32766.0,HOE R & CO INC
2004,HOE & CO R,42068.0,HOE R & CO INC
2066,UNION SWITCH & SIGNAL CO,79880.0,UNION SWITCH & SIGNAL INC
2077,UNDERWOOD TYPEWRITER CO,14875.0,UNDERWOOD TYPEWRITER CO
2159,AMERICAN STOVE CO,20933.0,AMERICAN STOVE CO
2241,WESTINGHOUSE AIR BRAKE CO,15341.0,WESTINGHOUSE AIR BRAKE CO
2241,WESTINGHOUSE AIR BRAKE CO,81677.0,WESTINGHOUSE AIR BRAKE CO NEW
2270,DIAMOND MATCH CO,16029.0,DIAMOND MATCH CO
2309,LUNKENHEIMER CO,31560.0,LUNKENHEIMER CO
2407,RILEY DANIEL JR,48442.0,RILEY COMPANY
2539,EASTMAN KODAK CO,11754.0,EASTMAN KODAK CO
2539,EASTMAN KODAK CO,14276.0,EASTMAN KODAK CO
2552,REMINGTON TYPEWRITER CO,14525.0,REMINGTON TYPEWRITER CO
2560,FRANTZ MFG COMPANY,51289.0,FRANTZ MANUFACTURING CO DE
2615,LAYNE & BOWLER CORP,77862.0,LAYNE INC
2649,AMERICAN STEEL & WIRE CO,12115.0,AMERICAN STEEL & WIRE CORP
2671,PACKAGE MACHINERY CO,60840.0,PACKAGE MACHINERY CO
2701,HAMMOND JOHN HAYS JR,40898.0,HAMMOND CO
2710,AMERICAN HARDWARE CORP,58843.0,AMERICAN HARDWARE CORP
2816,GOODRICH CO B F,12140.0,GOODRICH B F CO
2890,NEW JERSEY ZINC CO,34622.0,NEW JERSEY ZINC CO
2893,LINK BELT CO,17451.0,LINK BELT CO
2906,GILLETTE SAFETY RAZOR CO,16424.0,GILLETTE CO
2906,GILLETTE SAFETY RAZOR CO,16424.0,GILLETTE SAFETY RAZOR CO
2923,KELLOGG WILLIAM S JR,26825.0,KELLOGG CO
2933,SINGER MFG CO,27473.0,SINGER CO
2933,SINGER MFG CO,27473.0,SINGER MANUFACTURING CO
2933,SINGER MFG CO,36599.0,SINGER MANUFACTURING LTD
2938,DICK CO AB,57357.0,DICK A B COMPANY
2960,OHIO BRASS CO,34868.0,OHIO BRASS CO
2966,WILLYS OVERLAND CO,15421.0,WILLYS OVERLAND CO
2966,WILLYS OVERLAND CO,20781.0,WILLYS OVERLAND MTRS INC
3011,AMERICAN BRAKE SHOE & FOUNDRY,10030.0,AMERICAN BRAKE SHOE & FDRY
3057,FIRST TRUST & SAVINGS BANK,77775.0,FIRST SAVINGS BANK
3104,LOOSE WILES BISCUIT CO,14664.0,LOOSE WILES BISCUIT CO
3117,FIRESTONE TIRE & RUBBER CO,18569.0,FIRESTONE TIRE & RUBBER CO
3126,SEARS ROEBUCK & CO,14322.0,SEARS ROEBUCK & CO
3152,BRUNSWICK BALKE COLLENDER CO,10874.0,BRUNSWICK BALKE COLLENDER CO
3189,CORNING GLASS WORKS,22293.0,CORNING GLASS WORKS
3192,UNIVERSAL MFG COMPANY,80288.0,UNIVERSAL MFG CO
3197,NEFF & LUMLEY INC,15045.0,NEFF CORP
3197,NEFF & LUMLEY INC,86025.0,NEFF CORP
3199,ALLIS CHALMERS MFG CO,10153.0,ALLIS CHALMERS MFG CO
3286,SUMMER GUSTAVE,73331.0,SUMMER & CO
3298,UNDERWOOD TYPE WRITER COMPANY,14875.0,UNDERWOOD TYPEWRITER CO
3366,KELLOGG RAY E,26825.0,KELLOGG CO
3378,SINGER AUTO TRAFFIC SIGNAL COMPANY,27473.0,SINGER CO
3394,DEERE & CO,19350.0,DEERE & CO
3394,DEERE & CO,19350.0,DEERE & CO DEL
3394,DEERE & CO,19350.0,DEERE & CO IL
3449,LAMSON CO,33603.0,LAMSON & SESSIONS CO
3449,LAMSON CO,33638.0,LAMSON CORP
3453,TOLEDO SCALE CO,40926.0,TOLEDO SCALE CORP
3481,AMERICAN CHAIN & CABLE CO,18825.0,AMERICAN CHAIN & CABLE INC
3490,CARBORUNDUM CO,25064.0,CARBORUNDUM COMPANY
3523,DOW CHEMICAL CO,20626.0,DOW CHEMICAL CO
3533,KELLOGG SWITCHBOARD & SUPPLY,26825.0,KELLOGG CO
3616,MCKEE & CO ARTHUR G,27131.0,MCKEE ARTHUR G & CO
3640,AMERICAN STEEL FOUNDRIES,10487.0,AMERICAN STEEL FOUNDRIES
3646,CURTISS AEROPLANE & MOTOR CO,16491.0,CURTISS AEROPLANE & MTR CO
3744,CHASE COMPANIES INC,82542.0,CHASE CORP
3750,MCCARTHY JR CHARLES S,52063.0,MCCARTHY COMPANY
3797,GREAT NORTHERN PAPER CO,25160.0,GREAT NORTHERN PAPER CO
3816,AMERICAN PIANO CO,16221.0,AMERICAN PIANO CO
3884,HAMMOND JR THOMAS W,40898.0,HAMMOND CO
3921,DRAPER CORP,16980.0,DRAPER OAKWOOD TECH ACQ INC
3921,DRAPER CORP,31368.0,DRAPER CORP
3961,BUDD WHEEL CORP,18331.0,BUDD COMPANY
3961,BUDD WHEEL CORP,18534.0,BUDD WHEEL CO
3985,MANNING MAXWELL AND MOORE INC,26171.0,MANNING MAXWELL & MOORE INC
4009,STEWART WARNER SPEEDOMETER,14605.0,STEWART WARNER SPEEDOMETER CORP
4027,YALE & TOWNE MFG CO,15480.0,YALE & TOWNE MFG CO
4042,WOOD NEWSPAPER MACH CORP,38199.0,WOOD NEWSPAPER MACHY CORP
4067,CROWN CORK & SEAL CO,17726.0,CROWN CORK & SEAL CO INC
4067,CROWN CORK & SEAL CO,17726.0,CROWN CORK & SEAL INC
4127,AMERICAN INVEST CORP,85383.0,AMERICAN INVESTORS CORP
4152,CHAIN BELT CO,21119.0,CHAIN BELT CO
4185,HALL C M LAMP CO,33670.0,HALL C M LAMP CO
4186,STALEY,39263.0,STALEY A E MANUFACTURING CO
4186,STALEY,39263.0,STALEY CONTINENTAL INC
4222,KELLY SPRINGFIELD TIRE COMPANY,12685.0,KELLY SPRINGFIELD TIRE CO
4252,PHELPS DODGE CORP,17806.0,PHELPS DODGE CORP
4255,CLUETT PEABODY & CO INC,11295.0,CLUETT PEABODY & CO INC
4314,HARLEY DAVIDSON MOTOR CO INC,40986.0,HARLEY CORP
4314,HARLEY DAVIDSON MOTOR CO INC,70033.0,HARLEY DAVIDSON INC
4348,PROSPERITY CO INC,86432.0,PROSPERITY BANCSHARES INC
4372,MARTIN PARRY CORP,15253.0,MARTIN PARRY CORP
4458,MANVILLE JOHNS INC,16707.0,JOHNS MANVILLE CORP
4458,MANVILLE JOHNS INC,16707.0,MANVILLE CORP
4458,MANVILLE JOHNS INC,90100.0,MANVILLE CORP
4476,WESTINGHOUSE ELECTRIC CORP,15368.0,WESTINGHOUSE ELECTRIC CORP
4487,BARDEEN CORP,16935.0,BARDEN CORP
4508,RUBEROID COMPANY,19844.0,RUBEROID CO
4536,FORD MOTOR CO,25785.0,FORD MOTOR CO
4536,FORD MOTOR CO,25785.0,FORD MOTOR CO DEL
4541,POWERS REGULATOR CO,63731.0,POWERS REGULATOR CO
4542,ELLIOTT CO,23747.0,ELLIOTT CO
4558,PITTSBURGH PLATE GLASS CO,22509.0,PITTSBURGH PLATE GLASS CO
4569,KOEHRING CO,40790.0,KOEHRING COMPANY
4596,BAUSCH & LOMB,26518.0,BAUSCH & LOMB INC
4596,BAUSCH & LOMB,26518.0,BAUSCH & LOMB OPTICAL CO
4605,EAGLE PICHER LEAD COMPANY,21872.0,EAGLE PICHER CO
4605,EAGLE PICHER LEAD COMPANY,21872.0,EAGLE PICHER LEAD CO
4627,KOPPERS CO INC,22170.0,KOPPERS CO
4627,KOPPERS CO INC,91114.0,KOPPERS HOLDINGS INC
4693,AMERICAN OPTICAL CORP,24846.0,AMERICAN OPTICAL CO
4717,AMERICAN BANK NOTE CO,10217.0,AMERICAN BANK NOTE CO
4727,HENDERSON CORP,38498.0,HENDERSON PORTION PAK INC
4727,HENDERSON CORP,41567.0,HENDERSON PETE CORP
4742,VAPOR CAR HEATING CO INC,76950.0,VAPOR CORP
4742,VAPOR CAR HEATING CO INC,80275.0,VAPOR CORP
4766,LARSEN MADS M,48734.0,LARSEN COMPANY
4788,SUPERHEATER CO LTD,18999.0,SUPERHEATER CO
4813,DU PONT,11703.0,DU PONT E I DE NEMOURS & CO
4831,INGERSOLL RAND CO,12431.0,INGERSOLL RAND CO
4831,INGERSOLL RAND CO,12431.0,INGERSOLL RAND CO LTD
4831,INGERSOLL RAND CO,12431.0,INGERSOLL RAND PLC
4839,LIBBEY OWENS SHEET GLASS CO,18147.0,LIBBEY OWENS GLASS CO
4846,BLAW KNOX CO,18841.0,BLAW KNOX CO
4861,ANCHOR CAP & CLOSURE CORP,17240.0,ANCHOR CAP CORP
4895,ANACONDA SALES CO,10495.0,ANACONDA CO
