name,gvkey_x,org,score
A & E PLASTIK PAK INC,1000,"A & E Plastik Pak Co., Inc.",100
ASI,1063,ASI,100
ADAMS RUSSELL,1122,"Adams-Russell Co., Inc.",100
AEROJET GENERAL CORP,1157,"Aerojet-General Corp., Ordinance Div.",100
AEROLOGICAL RESEARCH INC,1158,"Aerological Research Systems, Inc.",100
AMEDCO INC,1377,"Amedco Health Care, Inc.",100
AMERICAN AIR FILTER INC,1387,"American Air Filter Company, Inc.",100
AMERICAN CHAIN & CABLE INC,1420,"American Chain & Cable Company, Inc.",100
FINA INC,1537,"Fina Technology, Inc.",100
AMERICAN SCIENCE & ENGINEERING INC,1554,"American Science and Engineering, Inc.",100
AMFAC INC,1599,"Amfac Foods, Inc.",100
ANCHOR COUPLING INC,1637,"Anchor Coupling Co., Inc.",100
ANGSTROM TECHNOLOGIES INC,1662,"Angstrom Robotics & Technologies, Inc.",100
ARROW HART INC,1774,"Arrow-Hart, Inc.",100
ART METAL U S A INC,1776,"Art Metal U.S.A., Inc.",100
ATCHISON TOPEKA & SANTA FE,1826,"The Atchison, Topeka & Santa Fe Railway Company",100
ATCOR INC,1829,Atcor,100
BARWICK (E.T.) INDUSTRIES,2068,E.T. Barwick Industries,100
BASTIAN BLESSING CO INC-DEL,2082,Bastian-Blessing,100
BERG ENTERPRISES INC,2168,"Berg/USA Enterprises, Inc.",100
BERKEY INC,2173,"Berkey Photo, Inc.",100
BIO LOGIC SYSTEMS CORP,2246,Bio-logic Systems Corp.,100
BROWNING,2438,Browning ,100
BURROUGHS (J P) & SON INC,2503,"J. P. Burroughs & Son, Inc.",100
NEXEN INC,2697,"Nexen Group, Inc.",100
CANRAD INC,2722,"Colight, a division of Canrad-Hanovia, Inc.",100
CARTER WALLACE INC,2797,"Carter-Wallace, Inc. ",100
CHEMI TROL CHEMICAL CO,2963,Chemi-Trol Chemical Co.,100
CHEM TECHNICS INC,2972,"Chem-Technics, Inc.",100
CHOCK FULL O NUTS CORP,3013,Chock Full O'Nuts,100
COMARCO INC,3218,"Comarco Wireless Technologies, Inc.",100
CONTINUUM INC,3478,"Continuum Software, Inc",100
COOK PAINT & VARNISH,3494,Cook Paint and Varnish Company,100
CUTLER-HAMMER INC,3670,Cutler-Hammer,100
DAIG CORP,3715,Daig ,100
DESERET PHARMACEUTICAL INC,3883,"Deseret Pharmaceutical Co., Inc.",100
DI AN CONTROLS INC,3913,"Di/An Controls, Inc.",100
DUNCAN ELECTRIC INC,4095,"Duncan Electric Company, Inc.",100
METWOOD INC-OLD,4149,"Metwood, Inc.",100
EAGLE-PICHER INC,4168,"Eagle-Picher Industries, Inc.",100
ELECTRO BIOLOGY INC,4264,"Electro-Biology, Inc.",100
ELECTRO SENSORS INC,4275,"Electro-Sensors, Inc.",100
ENTEX INC,4404,"Entex Industries, Inc.",100
ERB LUMBER CO-DEL,4435,Erb Lumber Co.,100
EXIDYNE INC,4490,"Exidyne Instrumentation Technologies, Inc.",100
F & B CECO INDUSTRIES INC,4505,"F & B/CECO Industries, Inc.",100
FEDERAL NATIONAL MORTGAGE ASSOCIATION FANNIE MAE,4601,Fannie Mae,100
FERRY CAP & SET SCREW CO,4625,The Ferry Cap & Set Screw Co.,100
FRIGITRONICS INC,4909,"Frigitronics of Conn., Inc.",100
GALOOB LEWIS TOYS INC,4975,"Lewis Galoob Toys, Inc.",100
GIGA TRONICS INC,5165,"Giga-Tronics, Inc.",100
GLOUCESTER ENGINEERING INC,5195,"Gloucester Engineering Co., Inc.",100
GRAINGER W W INC,5256,W. W. Grainger Inc.,100
GRASS VALLEY GROUP INC,5282,"The Grass Valley Group, Inc.",100
