ein,name
911663695,bill & melinda gates   trust
986001597,fundacao calouste gulbenkian
366030614,w k kellogg   trust-t/a 5315
562618866,bill & melinda gates
137184401,the leona m & harry b helmsley charitable trust
942278431,david and lucile packard
900747216,the jpb
203734688,shelby cullom davis charitable fund inc
226029397,robert wood johnson
205434405,margaret a cargill
910793881,casey family programs
951790021,j paul getty trust
943100217,conrad n hilton
43293081,gerald r jordan jr
237093598,john d & catherine t macarthur
436064859,ewing marion kauffman
261454348,peter hawkins dobberpuhl
621322826,john templeton
746355685,dorothy d & joseph a moller
741403105,moody
742316617,anschutz
450921232,ralph c wilson jr
526037034,harry & jeanette weinberg   inc
911917506,vinik family
133441466,walton family   inc
931220478,richard p haugland
263753801,to promote open society
131684331,ford
261215559,abbvie patient assistance
137043679,doris duke charitable
943397785,gordon e and betty i moore
986038021,the wellcome trust
731312965,charles and lynn schusterman family
205602483,bloomberg family   inc
954523232,the california endowment
237225395,burroughs wellcome fund
203940983,george lucas family
381211227,charles stewart mott
364336415,the michael and susan dell
251127705,richard king mellon   dtd 01-01-47
42763837,flatley
311520982,johnson & johnson patient assistance   inc
541896244,jack kent cooke
131659629,rockefeller
650464177,john s and james l knight   inc
136183757,the wallace
521951681,annie e casey
943082532,paul g allen family
203672969,diana davis spencer
10575520,merck patient assistance program inc
131628151,carnegie corporation of new york
223622487,bristol-myers squibb patient assistance   inc
381359264,w k kellogg
431614543,sanofi-aventis patient assistance
351813228,lumina   for education inc
460500266,genentech access to care
200031992,glaxosmithkline patient access programs
350868122,lilly endowment inc
42660137,the ricbac
367634806,sunrise   under tr 01022014
954686318,broad
730606209,the samuel roberts noble   inc
201359710,crystal bridges museum of american art inc
201922957,carl victor page memorial
352027985,lilly cares   inc
133794889,simons   inc
581695425,robert w woodruff   inc
461008520,good ventures
731286874,anne and henry zarrow
262502555,novartis patient assistance
383502540,alnour
133173593,anna maria and stephen kellen   inc
261437283,pfizer patient assistance   inc
756015322,meadows   incorporated
205938416,glenstone
941236937,james irvine
203899187,william davidson
746013920,houston endowment inc
381675780,skillman
251823874,wyss
251113452,sarah scaife   inc
263241764,laura and john arnold
263922995,paulson family
943148482,william k bowes jr
470824756,howard g buffett
133388177,soros fund charitable
522143480,encourage
476098282,peter kiewit
256012303,allegheny
205428853,teferes
133597510,w p carey
581692559,york-orleans
956092354,w m keck
46579815,barr
237456468,m j murdock charitable trust
521690493,volkswagen-stiftung
581595471,winshape   inc
237000192,bainum family
266736939,william m davidson stock grat dtd 1-2-09
396037928,lynde and harry bradley   inc
806008137,engelstad fam
470824753,novo
386052788,john e fetzer institute inc
364193183,s & g
136151545,starr
516536168,robert w wilson charitable tr
953203014,wayne & gladys valley charitable
237049738,jp morgan chase
431790817,crawford taylor
113659133,skoll
136108163,surdna   inc
540597601,public welfare   inc
526036989,morris and gwendolyn cafritz
476032365,the susan thompson buffett
911501066,satterberg
133091620,the bat hanadiv   no 3
366076088,arie and ida crown memorial
746047440,nelda c and h j lutcher stark
43073023,cummings   inc
381437485,herbert h & grace a dow
463460261,schmidt science and philanthropic
472107200,sergey brin family
43017940,lynch
50563132,william and sue gross family
133636372,manton
386088399,samuel and jean frankel
331114104,shimon ben joseph
591788859,e m lynn
943022002,camp
941624987,koret
826012000,j a & kathryn albertson   inc
716053383,donald w reynolds
464105873,new washington research
560529965,duke endowment
946068932,evelyn & walter haas jr tr
930806316,meyer memorial trust
911160492,washington research
131820170,heckscher   for children
274389819,sean n parker
311810072,boehringer ingelheim cares   inc
61627638,steven & alexandra cohen   inc
133735187,druckenmiller
731167188,inasmuch
411449680,thrivent financial for lutherans
50629744,bruce and cynthia sherman charitable   inc
205966333,fred a and barbara m erb family
510110625,longwood gardens inc
201173866,omidyar network fund inc
936026156,ford family
61194385,the thompson family   inc
311250075,greenacres
870649164,the ray and tye noorda
470824755,sherwood
942988627,the bobolink
263535044,wyncote
731683871,chdi   inc
431262762,enterprise holdings
756037406,t l l temple
510066734,longwood   inc
943096845,william n pennington
943038401,packard humanities institute
42768239,yawkey   ii
481306827,malone family land preservation
953169713,arnold and mabel beckman
133711340,vital projects fund inc
362999442,terra   for american art
516017929,f m kirby   inc
954480051,charles s & carmen de mora hale
205679987,sanders family
943027928,the lozier
953421867,argyros
351320021,liberty fund inc
10718240,the fairholme
746385152,albert & bessie mae kronkosky char fndtn 3005500-3136454
237047034,the edna mcconnell clark
752137184,the morris
391923558,kern family   inc
316022301,nationwide
311479839,colcom
521757452,h n and frances c berger
351549707,eugene and marilyn glick   corporation
200721133,bank of america charitable   inc
943362163,the duffield family
311546126,wallace h coulter
366079185,joyce
841256356,tyl
586032469,james m cox   of ga inc
61055586,edward john noble   inc
510165988,third champlin fdn t-a 1187287
383332791,arcus
66484045,the tow   inc
133410749,the andy warhol   for the visual arts inc
486121156,dane g hansen
131635260,commonwealth fund
131635303,russell sage
133200329,liz claiborne & art ortenberg
710723781,windgate charitable trust
205639919,wal-mart
61547852,peter and carmen lucia buck   inc
392076346,joseph and vera zilber charitable   inc
61695275,craig h neilsen
886063073,dr miriam and sheldon g adelson
471116371,walter scott family
956046963,dan murphy
364185939,circle of service
136082916,j e & z b butler   inc
201980932,scarlett family
311318013,the wexner family charitable fund
650755554,the frederick a deluca   inc
526068678,j willard and alice s marriott
137029285,open society institute
526072964,france-merrick   inc
136061329,louis and anne abrons   inc
132965090,the freeman   p-01644-00-7
746036466,brown   inc
231503488,william penn
136161425,chatlos   inc
366192971,grainger   inc
480918408,charles koch
956089998,the ahmanson
911791788,knight
943137894,wilburforce
943165171,tosa
366124341,crane fund
736090162,j e and l e mabee   inc
593707820,blue cross and blue shield of florida   inc
936031125,chiles
316542485,alice & charles schneider char tr
990266163,consuelo zobel alger
946607854,hadley and marion stuart
431965846,dalio   inc
756007565,hillcrest
43105768,klarman family
956085895,ralph m parsons
954085811,the david geffen
911663838,islands
592128429,ted arison family found
880361180,cyrus tang
741116595,ed rachal
946622075,may and stanley smith charitable trust
860683138,community finance corporation
680397103,stupski
542091336,hollyhock   inc
206760231,jeffrey h and shari l aronsonfamily
462014396,scully memorial
316056252,osteopathic heritage
730709836,presbyterian health
222175290,prudential   inc
596194119,publix super markets charities inc
251202255,pnc
133496263,kohlberg   inc
760343128,robert a welch   062491
132960852,jerome l greene   inc
131623877,alfred p sloan
953842468,price philanthropies
866021106,lincoln institute of land policy
363606913,dennis r washington   inc
136073358,u w eugene higgins charity 336710
656230256,the patterson
472978943,legacy   of central wisconsin inc
46836735,jacobson family   tr
232776475,the mccausland
756003984,hoblitzelle
586001954,joseph b whitehead
770252898,amgen   inc
943092928,intel
746043019,william stamps farish fund
346546418,jack joseph and morton mandel
136084888,dyson
826003437,j r simplot   inc
912062197,marguerite casey
861108441,jesus fund
562461733,windsong tr
205150433,constantin   inc
596874814,isenberg family charitable   inc
137450689,arison arts
916340739,rasmuson
136126105,charles h revson   inc
166350753,peter & elizabeth c tower   tr
43347626,schooner
363525653,bcbsm   inc
411367441,wells fargo
136001282,henry luce   inc
136192029,william r kenan jr charitable tr
350882856,ball brothers
263919092,the grossman family
260316905,peter g peterson
226062811,johnson & johnson family of companies contribution fund
943380194,yellow chair
43294711,martin & deborah hale
237336090,kemper and leila williams
137051493,james family charitable
262336633,morgridge family
132878224,metlife
731691396,cullen
256210269,mccune
135616528,clark
943256658,meadowview
566036515,kate b reynolds charitable trust
223847938,bluecross blueshield of south carolina
366058062,pritzker
954608757,the@bob and margie petersen
233057805,maguire
136106961,shubert   inc
133647019,f b heron
456393459,eunice joyce gardiner charitable
204094088,hardesty family   inc
411926065,sid and carol verdoorn family
436345116,william t kemper   commerce bank of kansas city n a t
954664939,broad art
206383779,sidney e frank charitable
386124363,wege
208916545,say yes to education
10751429,davis family
616031406,gheens   inc
263598470,donald b and dorothy l stabler
461591168,knapp community care   inc
237236057,irving s gilmore
527140888,the quetzal trust
