permno,comnam
10000.0,OPTIMUM MANUFACTURING INC
10001.0,GREAT FALLS GAS CO
10001.0,ENERGY WEST INC
10001.0,ENERGY INC
10001.0,GAS NATURAL INC
10002.0,MOBILE NATIONAL CORP
10002.0,SOUTH ALABAMA BANCORPORATION IN
10002.0,BANCTRUST FINANCIAL GROUP INC
10003.0,GREAT COUNTRY BK ASONIA CT
10005.0,WESTERN ENERGY RESOURCES INC
10006.0,AMERICAN CAR & FDRY CO
10006.0,A C F INDUSTRIES INC
10007.0,SHAREDATA INC
10008.0,GARDENAMERICA CORP
10009.0,CAYUGA SAVINGS BANK NY
10009.0,IROQUOIS BANCORP INC
10010.0,CABOT MEDICAL CORP
10011.0,A T C ENVIRONMENTAL INC
10011.0,A T C GROUP SERVICES INC
10012.0,DENSE PACIFIC MICROSYSTEMS INC
10012.0,D P A C TECHNOLOGIES CORP
10013.0,ARIZONA APPETITOS STORES INC
10014.0,ALASKA JUNEAU GOLD MNG CO
10014.0,A J INDUSTRIES INC
10015.0,A & M FOOD SERVICES INC
10016.0,FIGGIE INTERNATIONAL HLDGS INC
10016.0,FIGGIE INTERNATIONAL INC DEL
10016.0,SCOTT TECHNOLOGIES INC
10017.0,CONCURRENT COMPUTER CORP
10018.0,DELTA COMPUTEC INC
10019.0,I F R SYSTEMS INC
10020.0,KEY CENTURION BANCSHARES
10021.0,BRAINERD INTERNATIONAL INC
10022.0,AMERICAN SAFETY RAZOR CORP
10022.0,A S R PRODS CORP
10023.0,A A I CORP
10024.0,DOCUGRAPHIX INC
10025.0,A E P INDUSTRIES INC
10026.0,J & J SNACK FOODS CORP
10027.0,TELECOMMUNICATIONS NETWORK INC
10028.0,CANYON STATE CORP
10028.0,AMERICAN PACIFIC MINT INC
10028.0,DALLAS GOLD & SILVER EXCHANGE I
10028.0,D G S E COMPANIES INC
10029.0,A I F S INC
10030.0,AMERICAN BRAKE SHOE & FDRY
10030.0,AMERICAN BRAKE SHOE CO
10030.0,ABEX CORP
10031.0,A A IMPORTING INC
10032.0,PLEXUS CORP
10033.0,MIDAMERICA BANCSYSTEM INC
10034.0,HOME & CITY SVGS BK ALBANY NY
10035.0,GOOD GUYS INC
10036.0,NEUROTECH CORP
10037.0,FRANKLIN S & L ASSN STHPLD MI
10037.0,FRANKLIN SAVINGS BANK FSB
10037.0,FRANKLIN BANK NATL ASSOC
10037.0,FRANKLIN BANCORP INC
10038.0,PORTS OF CALL INC
10038.0,P O C I INC
10039.0,XIOX CORP
10039.0,AT COMM CORP
10040.0,HARVARD SECURITIES GROUP PLC
10040.0,HARVARD GROUP PLC
10041.0,4G DATA SYSTEMS INC
10042.0,CANYON RESOURCES CORP
10043.0,ANALYSIS & TECHNOLOGY INC
10044.0,ROCKY MOUNTAIN CHOCOLATE FAC IN
10044.0,ROCKY MOUNTAIN CHOC FAC INC NEW
10045.0,OLIVERS STORES INC
10046.0,COMMERCIAL PROGRAMMING UNLMTD
10046.0,UNIVERSAL FRANCHISE OPPTYS CORP
10047.0,TEXSTYRENE CORP
10047.0,ARIS CORP
10047.0,LAMONTS CORP
10047.0,LAMONTS APPAREL INC
10048.0,CENTURY COMMUNICATIONS CORP
10049.0,ABITIBI POWER & PAPER LTD
10050.0,AMERICAN BLDGS CO
10050.0,A B C INVESTMENT CO
10051.0,SEQUEL CORP
10051.0,HANGER ORTHOPEDIC GROUP INC
10051.0,HANGER INC
10052.0,VIDEO LIBRARY INC
10053.0,CARDINAL INDUSTRIES INC
10054.0,BIO NUTRIONICS INC
10055.0,GREAT AMERICAN RECREATION INC
10056.0,NEW MILFORD SAVINGS BANK
10056.0,NEWMIL BANCORP INC
10057.0,NATIONAL ACME CO
10057.0,ACME CLEVELAND CORP
10057.0,ACME CLEVELAND CORP NEW
10058.0,A B K C O INDUSTRIES INC
10059.0,ORANGE FREE STATE INVESTMENT LT
10060.0,FREE STATE CONSOL GOLD CO LTD
10061.0,UNITED SAVINGS BANK VIENNA VA
10062.0,NORTHEAST OHIO AXLE INC
10062.0,N E O A X INC
10062.0,ENVIROSOURCE INC
10063.0,N M R CENTERS INC
10063.0,AMERICAN HEALTH SVCS CORP
10064.0,TYCO TOYS INC
10065.0,ADAMS EXPRESS CO
10066.0,ABM COMPUTER SYS
10066.0,FRANKLIN TELECOMMUNICATIONS COR
10067.0,HYGEIA SCIENCES INC
10068.0,AMERICAN PROPERTY GROUPS INC
10069.0,ACA JOE INTERCON LTD
10070.0,DIGITEXT INC
10071.0,ALEX BROWN INC
10072.0,DEWS LABORATORIES INC
10072.0,SUMMA RX LABORATORIES INC
10073.0,ADVANCE RUMELY CO
10073.0,ADVANCE RUMELY CORP
10074.0,A B S INDUSTRIES INC
10075.0,V W R CORP
10075.0,V W R SCIENTIFIC PRODUCTS CORP
10076.0,SCAT HOVERCRAFT INC
10077.0,SPROUSE REITZ STORES INC
10078.0,SUN MICROSYSTEMS INC
10079.0,GENERAL COMPUTER CORP
10080.0,MOORE HANDLEY INC
10081.0,AHUMADA LEAD CO
10082.0,A C S ENTERPRISE INC
10082.0,A C S ENTERPRISES
10083.0,TEKNOWLEDGE INC
10083.0,CIMFLEX TEKNOWLEDGE CORP
10084.0,CRAFTMATIC CONTOUR INDS INC
10084.0,CRAFTMATIC INDUSTRIES INC
10085.0,UNITED INSURANCE COS INC
10085.0,U I C I
10086.0,L S B BANCSHARES INC SC
10087.0,BEAUTICONTROL COSMETICS INC
10088.0,V R BUSINSS BROKERS INC
10089.0,SYNERCOM TECHNOLOGY INC
10089.0,ALPHA TECHNOLOGIES GROUP INC
10090.0,AMERICAN MOBILE SYSTEMS INC
10091.0,INTERACTIVE TECHNOLOGIES INC
10092.0,LEISURE CONCEPTS INC
10092.0,4 KIDS ENTERTAINMENT INC
10093.0,ASSOCIATED INNS & REST CO AMER
10093.0,AIRCOA HOSPITALITY SVCS INC
10094.0,TUESDAY MORNING INC
10094.0,TUESDAY MORNING CORP
10095.0,SYNERGEN INC
10096.0,CITIZENS BANK NC
10097.0,FACELIFTERS HOME SYSTEMS INC
10098.0,POLY TECH INC
10099.0,AMERICAN BIOMATERIALS CORP
10100.0,AMERICAN CLAIMS EVALUATION INC
10100.0,AMERICAN LEARNING CORP NY
10101.0,PACER CORP WA
10102.0,AIR REDUCTION INC
10102.0,AIRCO INC
10103.0,A C S INDUSTRIES INC
10104.0,ORACLE SYSTEMS CORP
10104.0,ORACLE CORP
10105.0,TOPS MARKETS INC
10106.0,LINCOLN MUTUAL SAVINGS BANK
10106.0,LINCOLN SAVINGS BANK CARNEGIE P
10107.0,MICROSOFT CORP
10108.0,SUNGARD DATA SYSTEMS INC
10109.0,FIRST FED S & L ASSN COEUR ID
10109.0,MOUNTAIN WEST SAVINGS BANK F S
10110.0,AJAX RUBR INC
10111.0,A D A FINANCIAL SERVICE CORP
10112.0,IFEX INC
10113.0,ADVISORSHARES TRUST
10114.0,ACCLAIM ENTERTAINMENT INC
10115.0,COMMUNITY SAVINGS BANK MA
10116.0,HALSEY DRUG INC
10116.0,ACURA PHARMACEUTICALS INC
10117.0,U M B EQUITIES INC
10118.0,CONSOLIDATED HYDRO INC
10119.0,20TH CENTURY INDUSTRIES CA
10119.0,20TH CENTURY INDUSTRIES
10119.0,21ST CENTURY INSURANCE GROUP
10120.0,PIPER JAFFRAY INC
10120.0,PIPER JAFFRAY COS INC
10121.0,MARINE CORP IL
10122.0,MEDFORD SVGS BK MA
10122.0,REGIONAL BANCORP INC
10122.0,MEDFORD SAVINGS BANK
10122.0,MEDFORD BANCORP INC
10123.0,ACKERLEY COMMUNICATIONS INC
11746.0,E S B INC
10123.0,ACKERLEY GROUP INC
10124.0,LEARNING TECHNOLOGY INC
10125.0,DISCOVERY ASSOCIATES INC
10125.0,LEOS INDUSTRIES INC
10126.0,ONE VALLEY BANCORP WEST VA INC
10126.0,ONE VALLEY BANCORP INC
10127.0,PARIS BUSINESS FORMS INC
10128.0,LA MAN CORP
10128.0,DISPLAY TECHNOLOGIES INC
10129.0,ALL AMER CABLES INC
10130.0,NEWNAN FEDERAL S & L ASSN GA
10130.0,NEWNAN SAVINGS BANK FSB
10130.0,NEWNAN HOLDINGS INC
10130.0,FIRST CITIZENS CORP
10131.0,S B T CORP CT
10132.0,NATIONAL INDUSTRIAL BANCORP INC
10133.0,TELEQUEST INC
10134.0,EMPIRE GAS CORP NEW
10135.0,FIRST FEDERAL SVGS ARKANSAS FA
10136.0,COMMUNICATION CABLE INC
10137.0,AMERICAN WATER WORKS & ELEC INC
10137.0,WEST PENN ELECTRIC CO
10137.0,ALLEGHENY POWER SYSTEMS INC
10137.0,ALLEGHENY ENERGY INC
10138.0,T ROWE PRICE ASSOC INC
10138.0,T ROWE PRICE GROUP INC
10139.0,ADMIRAL FINANCIAL CORP
10140.0,SEALRIGHT COMPANY INC
10141.0,GANDER MOUNTAIN INC
10142.0,IMTEC INC
10143.0,ONCOGENE SCIENCE INC
10143.0,O S I PHARMACEUTICALS INC
10144.0,NATIONAL INSTITUTE CAREERS INC
10145.0,ALLIED CHEMICAL & DYE CORP
10145.0,ALLIED CHEMICAL CORP
10145.0,ALLIED CORP
10145.0,ALLIED SIGNAL INC
10145.0,HONEYWELL INTERNATIONAL INC
10146.0,APPLICATION ENGR CORP
10146.0,A E C INC
10147.0,E M C CORP MA
10148.0,TRADITIONAL INDUSTRIES INC
10149.0,EAGLE BANCSHARES INC
10150.0,TRANS LEASING INTL INC
10150.0,TLII LIQUIDATING CORP
10151.0,ADVISORSHARES TRUST
10152.0,ADVANCE DISPLAY TECHNOLOGIES IN
10153.0,ALLIS CHALMERS CORP
10153.0,ALLIS CHALMERS MFG CO
10154.0,AMERICAN ELECTR LABS INC
10154.0,A E L INDUSTRIES INC
10155.0,ELECTRIC & GAS TECHNOLOGY INC
10156.0,HANSON JOHN S & L INC
10156.0,HANSON JOHN SAVINGS BANK FSB
10156.0,HANSON JOHN BANCORP INC
10157.0,NORTH SIDE SAVINGS BANK BRONX
10158.0,AMERESCO INC
10159.0,INTERFERENCE CONTROL TECHS IND
10160.0,SANDSPORT DATA SERVICES INC
10160.0,SANDATA INC
10160.0,SANDATA TECHNOLOGIES
10161.0,AMERICAN METAL LTD
10161.0,AMERICAN METAL CLIMAX INC
10161.0,AMAX INC
10162.0,A E S TECHNOLOGY SYSTEMS INC
10163.0,X RITE INC
10164.0,CAMBRIDGE ANALYTICAL ASSOC INC
10165.0,LAFAYETTE BANCORP INC
10166.0,LONG LAKE ENERGY CORP
10167.0,ENCHANTED VILLAGE INC
10168.0,ARNOX CORP
10169.0,SPORTS MARKETING INC
10170.0,FAMILY STEAK HOUSES FL INC
10171.0,CHARTWELL GROUP LTD
10172.0,GRANITE COOP BK NORTH QUINCY MA
10173.0,SEABOARD SAVINGS & L ASSN VA BC
10173.0,SEABOARD BANCORP INC
10174.0,JEFFERSON NATIONAL BANK NY
10175.0,BARRYS JEWELERS INC
10176.0,THERMAL EXPLORATION CO
10177.0,INVESTMENT RES & TECHNOLOGY INC
10177.0,SPEAR FINANCIAL SERVICES INC
10177.0,J M C GROUP INC
10177.0,FECHTOR DETWILER MITCHELL & CO
10177.0,DETWILER MITCHELL & CO
10178.0,WESTERN PUBLISHING GROUP INC
10178.0,GOLDEN BOOKS FAMILY ENT INC
10179.0,ROCHESTER COMMUNITY SVGS BK NY
10179.0,R C S B FINANCIAL INC
10180.0,AKORN INC
10181.0,MUNICIPAL DEVELOPMENT CORP
10182.0,TECH DATA CORP
10183.0,E R C INDUSTRIES INC
10184.0,ALFA INTERNATIONAL CORP
10185.0,MERRILL CORP
10186.0,SOUTHWEST CAPITAL CORP
10187.0,HEALTHPLEX INC
10188.0,AMERICAN BOSCH MAGNETO CORP
10188.0,UNITED AMERICAN BOSCH CORP
10188.0,AMERICAN BOSCH CORP
10188.0,AMERICAN BOSCH ARMA CORP
10188.0,AMBAC INDUSTRIES INC
10189.0,A F A PROTECTIVE SYSTEMS INC
10190.0,COLOROCS CORP
10191.0,TEXCEL INTERNATIONAL INC
10192.0,M S CARRIERS INC
10193.0,RUBICON CORP
10193.0,OSPREY HOLDING INC
10194.0,SOMERSET GROUP INC
10195.0,C TEC CORP
10195.0,COMMONWEALTH TELE ENTRPS INC
10196.0,AMERICAN & FGN PWR INC
10197.0,A F C O A
10198.0,DEL PAINT CORP
10199.0,ARBOR DRUGS INC
10200.0,REPLIGEN CORP
10201.0,ATLANTIC POWER CORP
10202.0,CAPITAL WIRE & CABLE CORP
10203.0,PIONEER SAVINGS BANK INC NC
10203.0,PIONEER BANCORP INC
10204.0,UNITEL CORP
10205.0,LAWRENCE SAVINGS BANK
10205.0,INTREX FINANCIAL SERVICES INC
10205.0,LAWRENCE SAVINGS BANK NEW
10205.0,L S B CORP
10206.0,EDUCATION SYSTEMS & PUB CORP
10207.0,AMERICAS ALL SEASON FUND INC
10207.0,ALL SEASONS GLOBAL FUND INC
10207.0,ROYCE GLOBAL TRUST INC
10207.0,ROYCE FOCUS TRUST INC
10207.0,SPROTT FOCUS TRUST INC
10208.0,INSTRUCTIVISION INC
10209.0,AMERICAN AGRIC CHEM CO
10210.0,FIRST FEDERAL SVGS BK GA WINDER
10211.0,WESTCORP
10211.0,WESTCORP INC
10212.0,INFRASONICS INC
10213.0,AMERICAN TRAVELLERS CORP
10214.0,PLASTI LINE INC
10215.0,UNITED STATES VIDEO VENDING COR
10216.0,TRILLING RESOURCES LTD
10216.0,TRILLING MEDICAL TECHS INC
10216.0,WATER JEL TECHNOLOGIES INC
10216.0,X CEED INC
10216.0,XCEED INC
10216.0,WORLDWIDE XCEED GROUP INC
10217.0,AMERICAN BANK NOTE CO
10218.0,AUTOMATIC FILM PROCESS
10218.0,A F P IMAGING CORP
10219.0,TELESIS SYSTEMS CORP
10220.0,BABCOCK & WILCOX CO NEW
10220.0,B W X TECHNOLOGIES INC
10221.0,IMAGE MANAGEMENT SYSTEMS INC
10222.0,FRETTER INC
10223.0,CAMELOT INFORMATION SYSTEMS INC
10224.0,REGENCY CRUISES INC
10225.0,AMERICAN TOB CO
10225.0,AMERICAN BRANDS INC
10225.0,FORTUNE BRANDS INC
10225.0,BEAM INC
10226.0,A G C INDUSTRIES INC
10227.0,KIMMINS INDUSTRIAL SERVICE CORP
10227.0,KIMMINS CORP
10228.0,INTERFUND CORP
10229.0,NORTH AMERICAN COMMUNS CORP NEW
10230.0,ANDOVER SAVINGS BANK MASS
10230.0,ANDOVER BANCORP INC DEL
10231.0,COMMUNITY BANKSHARES INC NH
10232.0,ELMIRA SAVINGS BANK FSB NY
10232.0,ELMIRA SAVINGS BANK NY
10233.0,FAMOUS PLAYERS LASKY CORP
10233.0,PARAMOUNT FAMOUS LASKY CORP
10233.0,PARAMOUNT PUBLIX CORP
10233.0,PARAMOUNT PICTURES INC
10233.0,UNITED PARAMOUNT THEATRES INC
10233.0,AMERICAN BROADCASTING PARAMOUNT
10233.0,AMERICAN BROADCASTING COS INC
10234.0,A G M INDUSTRIES INC
10235.0,AMERICAN PASSAGE MRKTING CORP
10235.0,SEATTLE FILMWORKS INC
10235.0,PHOTOWORKS INC
10236.0,WEBSTER CLOTHES INC
10237.0,INTERNATIONAL SURGICAL & PHRM C
10238.0,BAY VIEW FED S & L ASSN CA
10238.0,BAY VIEW CAPITAL CORP
10238.0,GREAT LAKES BANCORP INC NEW
10239.0,BALDWIN & LYONS INC
10239.0,PROTECTIVE INSURANCE CORP
10240.0,WOMENS HEALTH CNTRS OF AMER INC
10241.0,AMERICAN CAN CO
10241.0,PRIMERICA CORP
10242.0,TRANS FINANCIAL BANCORP INC
10242.0,TRANS FINANCIAL INC
10243.0,ATLANTIC FEDERAL SAVINGS BANK M
10243.0,ATLANFED BANCORP INC
10244.0,DASIBI ENVIRONMENTAL CORP
10244.0,POLLUTION RESEARCH & CTRL CORP
10245.0,SHELLY ASSOCIATES INC
10246.0,MID SOUTH INSURANCE CO
10247.0,GANTOS INC
10247.0,GANTOS INC NEW
10248.0,CIMCO
10248.0,CIMCO INC
10249.0,SPORTSMANS GUIDE INC
10250.0,MERIDIAN NATIONAL CORP
10251.0,FIRST AMERN SVGS F A PA
10251.0,FLAGSHIP FINANCIAL CORP
10252.0,INDEPENDENT BANK CORP MA
10253.0,THOROUGHBREDS USA INC
10253.0,NEW SKY COMMMUNICATIONS INC
10253.0,DOCUMENT SECURITY SYSTEMS INC
10254.0,STERLING INC
10255.0,VERTICOM INC
10256.0,OLD DOMINION SYSTEM INC
10256.0,MICROLOG CORP
10257.0,DIGITAL SOLUTIONS INC
10257.0,TEAMSTAFF INC
10257.0,D L H HOLDINGS CORP
10258.0,T CELL SCIENCES INC
10258.0,AVANT IMMUNOTHERAPEUTICS INC
10258.0,CELLDEX THERAPEUTICS INC
10259.0,SIGMA DESIGNS INC
10260.0,ALLSTAR VIDEO INC
10261.0,MOUNTAINEER BANKSHARES WV
10262.0,COGNITIVE SYSTEMS INC
10263.0,LOWELL INSTITUTION FOR SAVINGS
10263.0,MERRIMACK BANCORP INC MA
10264.0,UNIVATION INC
10265.0,F & M FINANCIAL SVCS CORP
10266.0,WALTHAM SAVINGS BANK
10266.0,WALTHAM CORP
10266.0,STERLING BANCSHARES CORP
10267.0,NIAGARA EXCHANGE CORP
10268.0,AMERICAN ICE CO
10268.0,AMERICAN CONSUMER INDS INC
10269.0,A I A INDUSTRIES INC
10270.0,SAVECO INC
10271.0,MASSBANK FOR SAVINGS
10271.0,MASSBANK CORP
10272.0,TEKELEC
10273.0,LANDMARK BANK FOR SAVINGS MA
10274.0,BETA PHASE INC
10275.0,SENETEK PLC
10275.0,SENETEK P L C
10276.0,AMERICAN BEET SUGAR CO
10276.0,AMERICAN CRYSTAL SUGAR CO
10277.0,A I D INC DE
10278.0,HENLEY GROUP INC
10278.0,WHEELABRATOR GROUP INC
10278.0,WHEELABRATOR TECHNOLOGIES INC N
10279.0,GENETICS INSTITUTE INC
10280.0,PROTOCOM DEVICES INC
10281.0,AUTOINFO INC
10282.0,BRENDLES INC
10283.0,APPLIED OPTICS INC
10284.0,AMERICAN EXPRESS CO
10285.0,A I M TELEPHONES INC
10286.0,PROSPECT GROUP INC
10287.0,A T I MEDICAL INC
10288.0,BEAR AUTOMOTIVE SVC EQUIP CO
10289.0,ANGIO MEDICAL CORP
10290.0,HARLEYSVILLE GROUP INC
10291.0,FAMIGLIA INDUSTRIES INC
10291.0,FAMIGLIA BRANDS INC
10292.0,AMERICAN CHICLE CO
10293.0,A I N LEASING CORP
10294.0,HAVERTY FURNITURE COS INC
10295.0,MICRO MEMBRANES INC
10296.0,GRENADA SUNBURST SYS CORP
10297.0,LAKE SUNAPEE SVNG BANK FSB
10297.0,NEW HAMPSHIRE THRIFT BNCSHRS IN
10297.0,LAKE SUNAPEE BANK GROUP
10298.0,AQUASCIENCES INTERNATIONAL INC
10299.0,LINEAR TECHNOLOGY CORP
10300.0,WORLDWIDE COMPUTER SVCS INC
10301.0,TRANSFORM LOGIC CORP
10302.0,CYPRESS SEMICONDUCTOR CORP
10303.0,PRIME CAPITAL CORP
10304.0,AMCORE FINANCIAL INC
10305.0,AMERICAN DRUGGISTS SYND
10306.0,A I T S INC
10307.0,MODULAR TECHNOLOGY INC
10307.0,MILLER BUILDING SYSTEMS INC
10308.0,TOMPKINS COUNTY TRUST CO NY
10308.0,TOMPKINS COUNTY TRUSTCO INC
10308.0,TOMPKINS TRUSTCO INC
10308.0,TOMPKINS FINANCIAL CORP
10309.0,SKANEATELES SAVINGS BANK NY
10309.0,CENTER BANKS INC
10309.0,SKANEATELES BANCORP INC
10310.0,WORLDGROUP COMPANIES INC
10311.0,ALLISONS PLACE INC
10312.0,PREMIER TECHNOLOGY HOLDING INC
10313.0,AMERICAN INTERNATIONAL CORP
10314.0,AM CABLE TV INDS INC
10314.0,A M COMMUNICATIONS INC
10315.0,NETWORK VIDEO INC
10316.0,CAMERA PLATFORMS INTL INC
10317.0,TEL MAN INC
10317.0,SOUTHERNNET INC
10318.0,BALCHEM CORP
10319.0,MID HUDSON SVGS BK FSB FISHKILL
10319.0,FIRST INTER BANCORP INC
10320.0,AMERICAN BIONETICS INC
10321.0,NASH MOTORS CO
10321.0,NASH KELVINATOR CORP
10321.0,AMERICAN MOTORS CORP
10322.0,BROOKFIELD FED BANK FOR SVGS IL
10322.0,BROOKFIELD BANCSHARES CORP
10323.0,COMPUTER AIDED TIME SHARE INC
10324.0,GENZYME CORP
10325.0,BAKER J INC
10325.0,CASUAL MALE CORP MASS
10326.0,NYTEST ENVIRONMENTAL INC
10327.0,UNITED SAVINGS BANK SALEM
10328.0,HANA BIOLOGICS INC
10328.0,SOMATIX THERAPY CORP
10329.0,STATESWEST AIRLINES INC
10330.0,NEW STAR ENTERTAINMENT INC
10331.0,TOWER FEDERAL SAVINGS BANK IN
10332.0,NATURAL ORGANICS CORP
10332.0,CLASSIC AUTO ACCESSORIES N AMER
10332.0,F C R AUTOMOTIVE GROUP INC
10333.0,XOMA CORP
10333.0,XOMA LTD
10334.0,CAL STAR FINANCIAL SVCS INC
10335.0,SUN STATE S & L ASSN PHOENIX AZ
10336.0,COIN PHONES INC
10337.0,PALM SPRINGS SAVINGS BANK
10338.0,APOLLO S & L CO CINCINNATTI OH
10339.0,AMITY BANK CT
10339.0,AMITY BANCORP INC
10339.0,C B C BANCORP INC
10340.0,FIRST GRANITE BANCORP INC IL
10341.0,ABINGTON SAVINGS BANK MASS
10341.0,ABINGTON BANCORP INC
10341.0,ABINGTON SAVINGS BANK
10341.0,ABINGTON BANCORP INC NEW
10342.0,INAMED CORP
10343.0,INFINITY BROADCASTING CORP
10344.0,LINCOLN FOODSERVICE PRODS INC
10345.0,CROWLEY FINANCIAL SVCS INC
10346.0,312 FUTURES INC
10346.0,JACK CARL 312 FUTURES INC
10346.0,I F X CORP
10347.0,APPLIED SPECTRUM TECHN INC
10348.0,AMERICAN LA FRANCE FIRE ENGINE
10348.0,AMERICAN LA FRANCE FOAMITE CORP
10349.0,AMERICAN FID LIFE INS CO
10349.0,A M F I CORP
10350.0,MEDPHONE CORP
10351.0,PSICOR INC
10352.0,MARIETTA CORP
10353.0,ADAPTEC INC
10353.0,A D P T CORP
10353.0,STELL EXCEL INC
10353.0,STEEL EXCEL INC
10354.0,INTERNATIONAL CONSUMER BRDS INC
10355.0,DAILY JOURNAL CO
10355.0,DAILY JOURNAL CORP
10356.0,AMERICAN LINSEED CO
10357.0,A M I INDUSTRIES INC CO
10358.0,AMERICAN RELIANCE GRP INC
10358.0,AMERICAN RELIANCE GROUP INC
10358.0,ARI HOLDINGS INC
10359.0,AUTOSPA AUTOMALLS INC
10360.0,AVONDALE INDUSTRIES INC
10361.0,ANDOVER TOGS INC
10362.0,NORTH AMERICAN VENTURES INC
10362.0,BUTLER INTERNATIONAL INC NEW
10363.0,ADVANCED MAGNETICS INC
10363.0,A M A G PHARMACEUTICALS INC
10364.0,AMERICAN SMLT & REFNG CO
10364.0,ASARCO INC
10365.0,A M I SYSTEMS INC
10366.0,SUBURBAN BANKSHARES INC
12757.0,KRESS S H & CO
10367.0,HOME SAVINGS & LOAN ASSN NC
10368.0,TAUNTON SAVINGS BANK MA
10369.0,WOBURN FIVE CENTS SAVINGS BANK
10369.0,FIRST WOBURN BANCORP INC
10370.0,SYBRA INC
10371.0,CANDELA LASER CORP
10371.0,CANDELA CORP
10372.0,AMERICAN RADIATOR CO
10372.0,AMERICAN RADIATOR & STD SAN COR
10372.0,AMERICAN STANDARD INC
